sim,i,j,fonte_i,fonte_j,dia_i,dia_j,titulo_i,titulo_j
0.931583046913147,611,2824,DCI Online,DCI Online,2017-10-24,2019-04-25,Lojas Renner tem salto no lucro do 3ºtri com aposta em estoques maiores,Lojas Renner supera expectativas com lucro 45% maior no 1º tri
0.9266476631164551,663,2518,Valor Econômico,Diário de Sorocaba,2016-06-17,2016-06-18,"Canadian Solar vai investir R$ 2,3 bi no Brasil em geração","Mesmo com País em crise, empresa de energia solar promete 400 empregos"
0.9867814779281616,665,2283,A Tribuna,Diário do Grande ABC,2021-05-28,2021-05-28,Volkswagen vai parar fábricas por dez dias por falta de insumos,Volkswagen vai parar 2 fábricas por dez dias por falta de insumo
0.9255872964859009,675,1896,Todo Dia,Diário da Região/São José do Rio Preto,2022-12-05,2022-11-23,Maior roda-gigante da América Latina será inaugurada em SP em 09 de dezembro,Maior roda-gigante da América Latina será inaugurada neste ano em SP
0.8962445855140686,695,856,Correio Popular,Jornal de Jundiaí,2020-10-19,2020-10-19,Pacote ferroviário de R$ 6 bi inclui região,SP:acordo da ANTT permite investimento de R$ 6 bi em malha ferroviária
0.9923582077026367,716,1578,DCI Online,Folha da Região,2019-07-29,2019-07-29,"BB vai reorganizar agências e funções, com previsão de plano de desligamento","BB vai reorganizar agências e funções, com previsão de plano de desligamento"
0.9990823268890381,717,1812,Valor Econômico,Valor Econômico - Impresso - Flip,2018-03-16,2018-03-16,"Vérios tem aporte de R$ 5,2 milhões liderado por e.Bricks","Vérios tem aporte de R$ 5,2 milhões liderado por e.Bricks"
0.9197236895561218,727,1172,Correio Popular - Impresso - Flip,DCI Online,2019-04-18,2019-04-17,Nestlé anuncia versões em pó e cápsulas da marca; Nescafé será `repaginado',Nestlé investe R$ 300 milhões e lança cafés Starbucks no varejo
1.0,728,1676,Valor Econômico - Impresso,Valor Econômico,2018-11-26,2018-11-26,"Para rede Curitiba, há oportunidade de crescer no setor","Para rede Curitiba, há oportunidade de crescer no setor"
0.9982967376708984,729,2282,Estadão,Diário do Grande ABC,2022-06-29,2022-06-29,Volkswagen vai abrir vagas na fábrica de Taubaté para a produção de dois novos modelos,Volkswagen vai abrir vagas na fábrica de Taubaté para a produção de dois modelos
